FILE;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F328;ocr;3;0;344058;none;none;no;none;3;no;yes;599.04 x 842.04 pts;1.3;0;1;1;1;0;0
F329;ocr;3;3;115276;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F330;txt;26;2;31801;none;null ;no;none;5;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;35;19;6;66
F331;txt;31;2;31501;none;null ;no;none;6;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;37;16;6;66
F332;txt;26;2;30341;none;null ;no;none;5;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;40;22;6;66
F333;ocr;3;0;233124;Canon iR-ADV 6055                ;Adobe PSL 1.1e for Canon ;no;none;3;no;yes;594.36 x 840.78 pts;1.4;0;1;1;1;0;0
F334;ocr;9;0;528864;Canon iR-ADV 6055                ;Adobe PSL 1.1e for Canon ;no;none;9;no;yes;594.36 x 840.78 pts;1.4;0;1;1;1;0;0
F335;ocr;1;0;191240;RICOH MP 2554 ;RICOH MP 2554 ;no;none;1;no;yes;842.04 x 595.44 pts (A4);1.4;270;1;0;0;0;0
F336;ocr;2;0;148192;none;none;no;none;2;no;yes;599.04 x 842.04 pts;1.3;0;1;1;1;0;0
F337;ocr;2;0;151864;none;none;no;none;2;no;yes;599.04 x 842.04 pts;1.3;0;1;1;1;0;0
F338;txt;2;12;401203;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F339;txt;4;5;104073;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;30;48;48;8;158
F340;ocr;3;2;164711;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;no;none;3;no;yes;595.44 x 842.04 pts (A4);1.4;0;10;10;10;0;25
F341;txt;2;9;197969;Microsoft® Word 2010 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ M i c r o s o f t ®   W o r d   2 0 1 0) ;no;none;2;no;no;595.32 x 841.92 pts (A4);1.5;0;31;66;66;11;157
F342;txt;3;3;200262;FUJITSU fi-6130dj #4 ;Adobe Acrobat Pro 11.0.5 Paper Capture Plug-in ;no;none;1;no;yes;595.2 x 841.44 pts;1.6;0;22;0;0;12;155
F343;ocr;2;0;46889;Gestion Juridica;http://www.adultpdf.com ;no;none;2;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F344;ocr;4;0;214588;Gestion Juridica;http://www.adultpdf.com ;no;none;4;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F345;ocr;6;0;558032;RICOH Aficio MP 7502 ;RICOH Aficio MP 7502 ;no;none;6;no;yes;842.04 x 595.44 pts (A4);1.6;270;1;1;1;0;0
F346;ocr;4;0;414455;RICOH Aficio MP 7502 ;RICOH Aficio MP 7502 ;no;none;4;no;yes;842.04 x 595.44 pts (A4);1.6;270;1;1;1;0;0
F347;txt;1;3;291267;none;EVO HTML to PDF Converter 5.6 ;no;AcroForm;1;no;yes;612 x 842 pts;1.6;0;51;0;0;11;47
F348;ocr;32;0;3403401; ;GdPicture.NET 6.6.3 edition. - http://www.gdpicture.com ;no;none;32;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F349;ocr;2;0;97745; ;GdPicture.NET 6.6.3 edition. - http://www.gdpicture.com ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F350;ocr;3;3;438661;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F351;txt;3;10;158583;Microsoft® Word 2013 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ M i c r o s o f t ®   W o r d   2 0 1 3) ;no;none;3;no;no;595 x 842 pts (A4);1.5;0;34;44;72;2;109
F352;txt;9;15;589418;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;no;none;11;no;yes;595 x 842 pts (A4);1.4;0;42;44;11;2;114
F353;ocr;1;0;55851;DocuScan - NewInformatics ;none;no;none;1;no;yes;592 x 842 pts;1.4;0;1;0;0;0;0
F354;txt;3;6;251707;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F355;txt;0;6;210091;Word ;Mac OS X 10.9.5 Quartz PDFContext;no;none;0;no;no;none;none;0;0;0;0;0;0
F356;ocr;17;3;718649;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;17;no;no;595 x 842 pts (A4);1.4;0;1;1;49;0;0
F357;txt;0;2;24309;PDFCreator Version 1.7.1 ;GPL Ghostscript 9.07 ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;42;35;35;22;286
F358;txt;2;5;75717;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;no;595 x 842 pts (A4);1.4;0;25;47;47;8;157
F359;ocr;2;0;1602907;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;2;no;yes;595.08 x 841.68 pts;1.4;0;1;1;1;0;0
F360;ocr;1;0;1075087;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;1;no;yes;595.08 x 841.68 pts;1.4;0;1;0;0;0;0
F361;txt;1;2;73507;none;EVO HTML to PDF Converter 5.6 ;no;none;1;no;yes;612 x 842 pts;1.5;0;40;0;0;9;37
F362;txt;0;3;12623;PDFCreator Version 1.7.3 ;GPL Ghostscript 9.10 ;no;none;1;no;yes;595 x 842 pts (A4);1.4;0;31;0;0;15;255
F363;txt;4;8;184180;none;none;no;none;0;no;no;none;none;0;0;0;0;0;0
F364;ocr;3;3;89561;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F365;ocr;4;0;123923;Gestion Juridica;http://www.adultpdf.com ;no;none;4;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F366;ocr;2;0;56161;PDFlib ;PDFlib 3.03 (CSS) ;no;none;2;no;yes;595.2 x 840.96 pts;1.3;0;1;1;1;0;0
