FILE;LOSS;TIPO;IMAGES;FONTS;SIZE;CREATOR;PRODUCER;TAGGED;FORM;PAGES;ENCRYPTED;OPTIMIZED;PAGESIZE;VERSION;ROTATION;PAGELINESFIRST;PAGELINESSECOND;PAGELINESLAST;FWORDS1;TWORDS1
F109;.14;txt;2;7;462455;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F110;.15;txt;0;5;922119;Microsoft® Word 2016 ;Microsoft® Word 2016;no;none;0;no;no;none;none;0;0;0;0;0;0
F111;.12;ocr;2;0;51928;DocuScan - NewInformatics ;none;no;none;2;no;yes;592 x 842 pts;1.4;0;1;1;1;0;0
F112;.04;txt;1;7;411867;Microsoft® Word 2010 ;Microsoft® Word 2010 ;yes;none;7;no;yes;594.96 x 842.04 pts (A4);1.5;0;18;28;25;10;169
F113;.07;ocr;1;0;284820;RICOH Aficio MP 301 ;RICOH Aficio MP 301 ;no;none;1;no;yes;595.44 x 842.04 pts (A4);1.4;0;1;0;0;0;0
F114;.32;ocr;1;0;529784;none; ;no;none;1;no;yes;612 x 843 pts;1.5;0;1;0;0;0;0
F115;.17;ocr;4;0;624598;Adobe Acrobat 11.0.8 ;GPL Ghostscript 8.71 ;no;none;4;no;yes;612 x 792 pts (letter);1.4;0;1;1;1;0;0
F116;.21;ocr;5;4;247730;Nitro Pro 8 ;none;no;AcroForm;5;no;yes;595 x 842 pts (A4);1.7;90;51;2;29;18;153
F117;.17;txt;3;8;126309;none;iText 5.0.4 (c) 1T3XT BVBA;no;none;0;no;no;none;none;0;0;0;0;0;0
F118;.18;txt;0;2;139298;PDFCreator Version 1.7.0 ;GPL Ghostscript 9.07;no;none;0;no;no;none;none;0;0;0;0;0;0
F119;.11;ocr;4;8;101452;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;4;no;yes;595 x 842 pts (A4);1.4;0;24;1;1;8;157
F120;*  1;txt;1;2;24897;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;13;13;19;295
F121;.16;txt;1;2;24811;none;itext-paulo (lowagie.com) - build 130 ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;30;11;11;19;295
F122;.16;txt;14;11;731206;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;PDFsharp 1.32.2608-g (www.pdfsharp.net) ;no;none;14;no;no;595 x 842 pts (A4);1.4;0;40;39;10;2;106
F123;.14;ocr;7;0;175721;Gestion Juridica;http://www.adultpdf.com ;no;none;7;no;yes;594 x 792 pts;1.4;0;1;1;1;0;0
F124;.22;ocr;3;0;71646;PScript5.dll Version 5.2.2 ;Acrobat Distiller 11.0 (Windows) ;no;none;3;no;yes;595 x 842 pts (A4);1.5;0;1;1;1;0;0
F125;.05;txt;0;2;85143;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;2;no;yes;595 x 842 pts (A4);1.3;0;45;49;49;9;239
F126;.05;ocr;6;0;179274;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;6;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F127;.04;ocr;6;0;187707;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;6;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F128;.04;txt;4;11;242865;Microsoft® Word 2010 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ ;no;none;4;no;yes;595 x 842 pts (A4);1.5;0;37;48;55;1;136
F129;.04;ocr;4;0;81562;DocuScan - NewInformatics ;none;no;none;4;no;yes;592 x 842 pts;1.4;0;1;1;1;0;0
F130;*  1;txt;0;3;9315;PScript5.dll Version 5.2.2 ;AFPL Ghostscript 8.50 ;no;none;1;no;yes;595 x 842 pts (A4);1.3;0;34;0;0;10;182
F131;.21;txt;3;10;133115;Microsoft® Word 2010 ;PDFsharp 1.32.2608-g (www.pdfsharp.net) (Original: þÿ M i c r o s o f t ®   W o r d   2 0 1 0) ;no;none;3;no;no;595 x 842 pts (A4);1.5;0;24;43;24;2;62
F132;.21;ocr;79;10;14713023;Microsoft® Word 2010 ;Microsoft® Word 2010 ;yes;none;80;no;yes;595.32 x 842.04 pts (A4);1.5;0;41;1;2;9;204
F133;.18;ocr;2;0;98310;PScript5.dll Version 5.2.2 ;Acrobat Distiller 8.0.0 (Windows) ;no;none;2;no;yes;595 x 842 pts (A4);1.4;0;1;1;1;0;0
F134;.10;txt;3;2;138210;none;EVO HTML to PDF Converter 5.6 ;no;none;1;no;yes;612 x 842 pts;1.5;0;35;0;0;15;35
F135;.08;txt;5;12;98513;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;PDFsharp 1.2.1269-g (www.pdfsharp.com) ;no;none;6;no;yes;595 x 842 pts (A4);1.4;0;43;18;54;14;252
F136;.11;ocr;9;0;247734;Canon iR2530 ;Canon iR2530 ;no;none;9;no;yes;599.04 x 840.96 pts;1.3;0;1;1;1;0;0
F137;.12;ocr;2;6;162851;PFU ScanSnap Manager 5.1.30 #S1500 ;Adobe PDF Scan Library 3.2 ;no;none;2;no;yes;588.96 x 838.8 pts;1.3;0;127;1;1;28;461
F138;.10;ocr;2;6;162851;PFU ScanSnap Manager 5.1.30 #S1500 ;Adobe PDF Scan Library 3.2 ;no;none;2;no;yes;588.96 x 838.8 pts;1.3;0;127;1;1;28;461
F139;.11;ocr;2;6;162851;PFU ScanSnap Manager 5.1.30 #S1500 ;Adobe PDF Scan Library 3.2 ;no;none;2;no;yes;588.96 x 838.8 pts;1.3;0;127;1;1;28;461
F140;.14;txt;4;5;301599;Aspose.Words ;Aspose.Pdf.Kit for .NET 5.4.0.0 ;no;none;5;no;yes;595.35 x 841.95 pts (A4);1.6;0;47;1;1;21;267
F141;.03;txt;26;2;30387;none;null ;no;none;5;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;35;21;6;71
F142;.10;txt;26;2;32312;none;null ;no;none;5;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;52;23;5;74
F143;.02;txt;21;2;29488;none;null ;no;none;4;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;16;53;30;5;74
F144;.05;txt;11;2;25110;none;null ;no;none;2;yes (print:yes copy:no change:no addNotes:no algorithm:RC4);no;595 x 842 pts (A4);1.3;0;17;29;29;6;66
F145;.12;txt;1;4;38361;Microsoft® Office Word 2007 ;Microsoft® Office Word 2007 ;yes;none;2;no;yes;595.32 x 842.04 pts (A4);1.5;0;26;1;1;8;175
